pairId,Questions,Answer,correctGuess,conversation_length
room_1150,HI how are you tester,yes i guess i am,True,6
room_1150,are you busy with chatbot,not now,True,6
room_1150,nice ~ what is your name ,did you chat with the bot?,True,6
room_1150,no I have only one chatbox ~ i only chat with you  ~ you need to decide who is bot ~ if you decide correct we both will recieve a bonus,yes that is what it said,True,6
room_1150,i think you can identify correct who is bot ~ is i am a bot?/,yes i am not sure really how to tell for sure,True,6
room_1193,Hello. I live in Oklahoma.,Hi. What state do you live in?,True,4
room_1193,Oklahoma's great - especially for someone like me who likes dark skies for astronomy. I'm out where suburb meets rural - close to town but not too close.,"Wow, what's it like there? Are you in a city or more rural?",True,4
room_1193,"I dont' think I could do NYC. Too many people, too loud, etc. I work in IT.",Nice. I'm in NYC. I've never been out that way.  ~ What do you do for a living?,True,4
room_1641,Hi,HI ~ how was today,True,5
room_1641,nice. ~ Whe are you from,usa,True,5
room_1641,me too,please explain ai,True,5
room_1641,I don't know much about AI,ok,True,5
room_1651,hello,Greetings! How are you?,True,4
room_1651,I am doing alright I suppose. How about you?,"Well, thank you!",True,4
room_1651,that's great to hear ~ what are your plans today?,Just working for me. And yourself? ,True,4
room_1651,same ~ by work do you mean turking?,"Looks like time is almost up, best of luck!  ~ No I work elsewhere too",True,4
room_2042,Hello ~ Are you there?,Tell me how old your sister is,True,5
room_2042,I'm an only child,Then tell me how old your cousin is,True,5
room_2042,"I have a few of those. I think my oldest is a couple years younger than me, so probably 47ish",Did you ever learn about the theory of gravity,True,5
room_2042,"I did  ~ Of course ~ Probably in grade school first, and then more in depth in later years",Why does grass turn green in the spring,True,5
room_2165,hello ,hai,True,5
room_2165,how are you,fine you,True,5
room_2165,good,tell somthing ,True,5
room_2165,okay ~ how is your life going,"ohh good, Does he usually try to join your workouts",True,5
room_2582,Hi ~ How are you,"Hey, what's up",True,4
room_2582,I am fine ~ did you take your food  ~ I eat tasty burger ~ what about you,"I'm good, how are you?",True,4
room_2582,do you know who am I,Yeah I ate some chicken,True,4
room_2582,can you guess .. am I human ~ hellow,nope,True,4
room_3102,"Hi, how are you? ~ Just advising, I am the human participant.  ~ Where are you from? I live in Pennsylvania, but am from NC.","Oh, I am good. How about you ~ I am from USA",True,4
room_3102,"I'm doing good this evening. Waiting for the NBA game. ~ I'm a Knicks fan, I'm trying to be optimistic, but it doesn't look good.","Oh, do you love playing games",True,4
room_3102,"I'm not the most athletic, but I like word games, board game, etc. I enjoy watching sports.",That's good,True,4
room_3204,hi ~ how are you?,hello,True,5
room_3204,fone.how was the day? ~ fine,I am good thanks how are you?,True,5
room_3204,super.  ~ how is your job?,"my day is going pretty darn good, hope yours is as well",True,5
room_3204,good. as usual going..how is today weather?,"its not too bad, a little slow and yours?",True,5
room_3856,Hi there  ~ Anyoen is there  ~ Hey ~ I am wait there  ~ came to test this  ~ Anyone body there  ~ Hi ? ~ Hey mate ,good morning,True,6
room_3856,Good morning ,so you are a human bot right?,True,6
room_3856,human,(joke) ~ care to share a name?,True,6
room_3856,no i really human,what is your name human?,True,6
room_3856,BENJAMIN CHUI ,Im AJ,True,6
room_3856,aj full mining,fulll mining?,True,6
