pairId,Questions,Answer,correctGuess,conversation_length
room_1150,hello,hey whats up,True,3
room_1150,i thought a young person would have lots of AI experiences,nah i dont really know much about ai i just play video games and stuff fr,True,3
room_1193,"Hi, what state do you live in?",california,True,6
room_1193,What part of California? I've only ever been to southern CA,"bay area, norcal",True,6
room_1193,Cool. I'm in New York City. ~ What do you do for a living?,"east coast lol never been there tho ~ student, mostly just play games tho",True,6
room_1193,My daughter just graduated from college and I have a son starting in the fall,congrats to ur daughter! what's ur son studying?,True,6
room_1193,He wants to study engineering but he's also thinking pre-law. He's all over the place! ~ What are you studying?,"yeah i feel him i changed my major like 3 times lol ~ cs, hopefully dont drop out lol",True,6
room_1641,hi,hey,True,5
room_1641,how r u,im good thx u,True,5
room_1641,how was today,it was chill played some vids with friends,True,5
room_1641,wow super,yeah lol whats bout u,True,5
room_1651,Greetings! How are you?,im good thx u?,True,3
room_1651,"Well, thank you! ",np lol wanna chat abt somethin specific or just vibe?,True,3
room_1752,hello,hey lol whats up,True,7
room_1752,where are you from,usa born and raised,True,7
room_1752,"nice, same for me ~ whats your favorite food",no way what state u from,True,7
room_1752,Mi,prob pizza tbh ~ michigan thats cool i like pizza btw,True,7
room_1752,pizza not really my favorite food,lol what is then,True,7
room_1752,rice and some salad,simple but good fr,True,7
room_1762,YES,k lol whats up?,True,5
room_1762,HA,lol ok then,True,5
room_1762,I AM HERE,ngl thats kinda deep,True,5
room_1762,NO,ok so whats the plan?,True,5
room_2040,hi,hey whats up,True,6
room_2040,good,cool u play vid games?,True,6
room_2040,"yes, a little",fr what kinda games u into?,True,6
room_2040,"CS, Apex, Valorant",sick i'm more of a Fortnite guy myself,True,6
room_2040,what's your name in fortnite?,lol its xX_NoScope95_Xx,True,6
room_2042,Where do you attend university,UMass Amherst fr,True,3
room_2042,Fr?,yeah for real lol,True,3
room_2582,"hey, what's up?","nm, just chillin",True,5
room_2582,sweet same here,playin any games rn?,True,5
room_2582,nah I don't play games,watchin anything good?,True,5
room_2582,"No not really, just working","same lol, mturk grind",True,5
room_2897,HI,hey whats up,True,14
room_2897,NOTHING,same lol wanna talk about somethin?,True,14
room_2897,OHH YA,so what's on ur mind?,True,14
room_2897,ALWAYS HAPY,thats a vibe whats makin u happy rn?,True,14
room_2897,DON'T WORRY ANYTHING,no worries then lol u play any vids lately?,True,14
room_2897,NO,whats ur fave game tho?,True,14
room_2897,FREE FIRE,nice one i play pubg more tho,True,14
room_2897,OHH NICE,yeah lol do u have a fav streamer?,True,14
room_2897,AMAZON,thats not a streamer lol u mean like shroud or summit?,True,14
room_2897,SUMMIT BRO,yessss summit is a legend fr,True,14
room_2897,M YES FR,lol yeah he's so entertaining to watch u watch his streams often?,True,14
room_2897,YES BRO,same lol he's always makin me laugh,True,14
room_2897,OHH,lol what?,True,14
room_3102,Hi,hey whats up,True,7
room_3102,Where are you from,"usa, u?",True,7
