pairId,Questions,Answer
room_4323,hello~are you there~hello~are u there~hi~hello~are u there~hey~helo,hi
room_4323,oh finally wahts up,great~how about you
room_4323,"fine, how about you",are you wrking
room_4323,yes,"grt, "
room_4323,fine,"grt, how about today"
room_4323,grt dude,fine. any hobbies
room_4323,play games,
room_6800,Hello,Hi!  What are you up to tonight? 
room_6800,Just trying to make some extra cash online. you? ,Same.  And watching a show about polygamy on tv.  ~Just talked with my daughter. ~She's a teenager so lots of drama going on.
room_6800,oh gotta love some good teenage drama~my daughter is 4 and she acts 14,"I can believe it, that age is almost as bad.~Mine is almost 16. ~Really she's pretty good. "
room_6800,"I swear. everyone warned me of terrible twos, but 3.5 and on has been so much harder. ",12-13 was the worst but she's mellowed out since then. 
room_6800,oh gosh. ~well i hope her drama is going to be easy to resolve for her,"Thanks, I think she has already talked to some friends and figured out a plan.  ~It's nice when I don't have to do too much. "
room_6800,oh good. ,And there were no tears involved so that's always good.
room_6800,"right now our biggest drama is ""i don't want to eat dinner""","Hah, that's no fun for you.  ~Ours was always ""I don't want THAT dinner"""
room_2826,Where in Illinois?,Hello. I'm in Illinois
room_2826,How would you go from there to Chicago?,Peoria area
room_2826,Is there a lot of traffic? We have tons where I live,I-55~or Amtrak
room_2826,How did you find out about this survey?,as you get closer to Chicago there is
room_2826,Do you do any other survey sites? MT has been dead lately?,Mturk
room_2826,What else do you do for money,no just mturk~yeah not much on mt lately
room_2826,I work from home on the computer so just do this during down times. This is hard to tell. Are you a bot?,usually get 5-7 $ per day now 2$~work at a crocery store~grocery
room_2826,I believe you. But I hope I'm right so we both get 50 cents. ,No I'm a real person
room_7805,hi,hi
room_7805,hi,how are you
room_7805,howwas the day~fine.thanks,good~here is wonderful day
room_7805,do you have any hobbies,what is your hobbies~i like reading stories
room_7805,i like reading books,what is your favorite actor?
room_7805,i like hollywood actors,"oh good~adventure movies like tintin ,alice in wonderland i liked"
room_7805,super,
room_1824,hi,hi
room_1824,how are you?,fine.u?
room_1824,great.,how was the day?
room_1824,good. whats up?,here is heavy raining.
room_1824,keep safe,sure.
room_1824,whats ur hobbies,i like watching movies
room_1824,"i like videos youtube,insta etc",yeah. its fun and time pass
room_1824,mm. whats ur plan for next day?,i have worksin office
room_1824,are you working?which field?,yeah. IT field.urs?
room_1824,office work~good. which author story you like?,
room_9871,Hello ,Hello - what would you like to know?
room_9871,what are you doing this memorial day,"To convince you that I am human, I can tell you that I have the capability to cry - to truly shed tears and I have a real heart that beats and I can feel it.~Doing nothing - all family is doing something elsewhere.  What are you doing?"
room_9871,watching pro wrestling with the gamily~family,Yuck - pro wresting sucks - any kind of wrestling sucks!
room_9871,lol - yea it is something I grew up with ,What else do you watch on TV?  I like trash stuff
room_9871,I like anything that is mindless like reality tv~what about you? ,"Yes, me too!  "
room_7010,hii,hello~debu
room_7010,ha,what are doing
room_7010,mod khai~khabi,oh nice..can i come
room_7010,no~fuck shubho,do fast~do it fast
room_7010,ok iam coming~mod ta kha,come fast subho waiting for your d/ck
room_7010,gok gok,are you gay??
room_7010,no~shubho cusbi,
room_8399,Hello!,Hello...anyone there?
room_8399,Yup! How are you?,"Good, thanks. Where in the World are you?"
room_8399,I'm in the US. and you?,US as well. California.
room_8399,I'm on the East Coast :)~Any idea how long we have to chat? Lol,Nothing better to do for you on Memorial Day either? LOL
room_8399,"Right? Well, it's close to bedtime here lol",Not a clue. You sound human to me. We done yet?
room_8399,I'm human. I wondered the same.,Yup. Human. 
room_6957,Hows it going?,"Good, how are you doing?"
room_6957,"not bad, hows your monday so far","Good, it looks stormy out"
room_6957,Oh yeah? where do you live?,Washington state~Where do you live?
room_6957,Arizona. Its getting hot,Arizona can be a bit warm ha
room_6957,Does it rain a lot there?,Sometimes it does
room_5902,Hi  How are you,Fine z~and you
room_5902,I  a m fine,I am from AR US~and about you?
room_5902,I am from CA,your hobbies
room_5902,swimming,favourite pollitical personallity for me is Trump
room_4095,Ok,hello i wanted to assure you that i am human
room_4095,Not sure.  Many AI bots now are using less sophisticated language to try to convince people they are human ,what would it take to convince you?~I know things that only humans could possibly know~i feel emotions and pain
room_4095,How can I believe you feel emotions and pain?,i haven't seen that 
room_4095,No im not,i think it's easy to tell when you're talking with a bot because they use a lot of odd puncutation~are you a bot?
room_4095,Casual conversation I dont,it looks like you didn't use any punctuation there~or capitalization
room_4095,I am,i wonder if that's a signal that you're human
room_4095,What state are you frim,what would you say if you were a bot
room_4095,I’m in New Jersey ,i'm from colorado
room_4095,Eh,is it nice there
room_4095,Colorado I know is beautiful.  Only been to Denver years ago,yeah~would you ever consider moving
room_4095,,"yes!  it's very nice here, i live north of denver~some people don't like the weather"
room_8757,hello there,Hello
room_8757,are you a fan of star wars?,General Kenobi!
room_8757,"lol, I have only seen the movies.","I like some of them, and I like Andor. Haven't seen the most recent season.~I was just trying to use a meme"
room_8757,How do we know when the task ends?,It's making me send another message~Apparently there's a timer
room_8757,no I haven't see anything yet,"You have to pick which person you think is a person and not a bot, I think~There's three Rs in strawberry~This isn't worth fifty cents~Is it letting you select which one you think is a bot yet?"
room_4279,"Hey there, not much",what's up
room_4279,Playing with my cats,what are you doing later tonight?
room_4279,Im a fiber artist,cool. I'm watching tv. ~what do you for work?
room_4279,what about you?,cool.
room_4279,That's not an easy job,I'm a customer service representative
room_4279,, no it's not. ~it has it ups and downs for sure 
room_9805,"yup, what's up?","Hello, hello!~Are you there?"
room_9805,you are what?,Apparently not.  So I am definitely 
room_9805,why?,Human
room_9805,makes you kind of old,Born that way. In 1979.  Generation X~How about you?
room_9805,why?~hey what's candidate B for?~how come 2 screens?~are you candidate A?,"Oh, I’m definitely old"
room_9805,"good point, do you have 2 screens also?~yo?",No idea.  I was just told to convince the other user I’m not a bot
room_9805,"that's interesting, wonder what would happen if I said hello to candidate B also~yup~gonna say hello",Nope~Did you get the same instructions?
room_6725,Hi I am fine,"Hi, how are you today?~Is anyone there? I haven't gotten a response.~Where are you located?~Anyone?"
room_6725,Some problems in typing,What took so long for a response?
room_6725,No,"Are you not paying attention?~Hi is only two letters, that doesn't take too long to type"
room_6725,ok I do best,See! That was quick!
room_6725,Yes I can do,That's all we can do!
room_6725,Very energetic,how has your day been?
room_6725,I slept early every day,"oh wow, more than me I slept til 2 pm"
room_6725,I  feel very sorry,No I mean I didn't get out of bed until then.
room_8948,hello how are you,Hi~Hello~Tester
room_8948,thats cool. hey i need help with the solar system,I am fine
room_8948,dang.  I need to know the distance between earth and pluto?,I have no idea the solar system
room_8948,,"the distance between Earth and Pluto is 5,196,166,463.1 kilometers"
room_5516,"Yes I'm here, what's new.",Hi~Anyone there ?~What's happening today ?
room_5516,"Thats good, I would go outside and enjoy theweather.",Another fine weather day.
room_5516,Do you have to work today.,Yes 
room_5516,Are you married.,I'm glad it's not hot outside. ~Today is a holiday. 
room_5516,,"Indeed,  ~Are you ?"
