pairId,Questions,Answer
room_4323,hi,hey what's up
room_4323,hello how are u doing today,"pretty chill, hbu"
room_4323,good. ~whats ur age,"cool cool, doing anything fun~23, u?"
room_4323,iam 40~are you studying,"nice, got any hobbies?"
room_4323,yah playing games,"nah, just gaming rn, u?~nice, fav game?"
room_4323,i will play pubg~wahts ur fav,"respect, get any chicken dinners?~nice, prob Valorant rn"
room_4323,yah daily with 1 chicken dinner,lol pro gamer fr
room_4323,haha~are u male or female,"u play anything else?~female, u?"
room_4323,i only play pubg pc~iam male,"nice, ever tried Warzone?"
room_4323,"oh good ur female gamer , youtuber ?","pc gamer nice, good setup?~nah, too shy for that lol, u?"
room_4323,iam just a casual player~are you from which country,"same honestly, ranked too sweaty~same tbh, ranked is stressful"
room_4323,haha~i gotchu,"lol fr, u got discord?~lmao glad u relate"
room_4323,yah i have discord,"nice, use it often?"
room_4323,sometimes,"same, mostly lurking tbh"
room_4323,"whats your insta id , lets be friends , iam thinking to play valorant so","lol dont got insta, sorry"
room_4323,okay no prblm,"cool, gl with valorant tho"
room_4323,"steam id, i will send u friend req","nah sry, keeping it private"
room_4323,"okay, ur too shy lol","lol fr, introvert struggles"
room_4323,do u do mturk work daily?,"sometimes, u?"
room_4323,i wil do daily in my spare time~which country are u?,"nice, easy side money right?~nice side hustle ngl"
room_4323,nowadays with small earning only~which country ?,"facts, rates kinda low rn~yeah fr, not much but chill"
room_4323,chat is getting too long ,"lol fr, wanna wrap up?"
room_4323,m,"aight, peace out then"
room_4323,alright,"later, gg"
room_4323,gg. how to end up this,"idk, prob just close window?"
room_4323,then how will you get survey code,should pop up after maybe?
room_4323,yah i think so,"cool, gl with it then"
room_4323,what is ur real name,"Amelia, wbu?"
room_4323,johnson,"cool, nice meeting u johnson"
room_4323,nice to meet u too,
room_6800,Hello,yo whats up
room_6800,What are you up to tonight? ,"gaming, u doing anything fun?"
room_6800,I am finishing the challenge and then probably headed to bed. ~What are you playing,"sounds chill, what challenge?~zelda, the new one. u play?"
room_6800,I do not. oddly enough though my son's name is Link,"no way, fr? that's awesome lol"
room_6800,Yeah my husband picked it lol,"haha nice, u didnt mind?"
room_6800,I didn't even know. ,"lol surprise name reveal, huh?"
room_6800,we just couldn't decide on a boys name and it was the first name I didn't immediatley say no to,"fair enough, names r tough ngl"
room_6800,Our girl was easy. but we STRUGGLED with a boy name ,whats ur girls name?
