pairId,Questions,Answer
room_7750,HI ~ hello? ~ is anyone here,hi
room_7750,"well, im human and i would like my .50",okey i also
room_7750,is that proof enough? ~ also i hate elon musk ~ i dont know how long we have to do this,tell me your self more
room_7750,more about me? my best friend is my dog ida. we went to the park after i worked. ~ i played pokemon go ~ now im wasting time mturk,how much we spend time here
room_7750,i dont knwo,whats your name?
room_7750,it says i have to keep message ~ denny ~ whats yours,jannifer ~ nice to meet you
room_1820,hi,"Hello, yes i am human ~ I am a Turker ~ hello?"
room_1820,ok,are u a human? lol ~ hello
room_1820,yes,how would I know you are? lol ~ hellloooo ~ ???????? ~ okay i quit ~ I have stuff to do so we're not getting on with chatting here then I'm bouncing ~ so we're not getting on with chatting here then I'm bouncing ~ hellloooo ~ How long do I need to do this and not get a response but I have to send it so I don't time out is anybody there or or what's up ~ ok Thanks for your responses you are so helpful
room_4040,Hello how are you this evening?,"Im doing great, wby?"
room_4040,Oh not too bad just tired.  Just got done working. ~ What are you up to?,"Oh, you're done working but still working lol ~ I guess I can say the same as well"
room_4040,Lol yeah good point. ~ Ok just finished my job that pays decent money then.,Do you mind if I ask what you do for a living?
room_4040,I’m a conductor for the railroad. ~ Lots of funky hours and time spent in a hotel.,"Wow. Is that a hectic job? ~ Ohh, that's crazy.. Im in the real estate firm"
room_4040,Not too bad. The hardest part is usually staying awake. Lots of time staring out of a windshield and fighting sleep lol. ~ Do you enjoy it?,"Lol, that's true about your job.. Which shift do you do?"
room_1537,Hello,HI
room_1537,I like to eat food ~ do you eat food ~ ? ~ hello? ~ are you there? ~ this is boring,IT'S HUMAN
room_1537,why are you not chatting? ~ ok ~ what you do today?,WHAT IS THE MEANING OF AI
room_1537,i want to earn 50 cents ~ AI is garbage and doesnt even work good,HOW
room_1537,by proving i am human ~ do u use chatgpt ever? ~ its pretty useless,OK
room_1537,so are u human?,YES
room_1537,prove it ~ whats ur fav movie ~ do u surf?,HARRY POTTER
room_1537,ok u r human too ~ when is this chat over ~ i think we earned our 50 cents,HOW MUCH TIME TAKE THIS CHAT
room_1826,hiii,hello
room_1826,how are you,Im finr what about you
room_1826,great ~ where you do for living,good ~ where are you from
room_1826,USA california ~ and you?,usa indiana
room_1826,what is your favorite drink,wisky and you
room_1826,me too,i love rum also
room_9338,Hii,Hello ~ How are you
room_9338,great. what about you?,im fine ~ where are you from
room_9338,Texas ~ you?,usa indiana
room_9338,what you eat tomorrow lunch,what do you do for living ~ pizza ~ and you
room_9338,I ate cement with red brick,haaa haaa lol
room_4294,hii,hello
room_4294,whats going on,nothing what about ypu
room_4294,drinking alcohol ~ what is your favorite drink,what wisky or rum ~ i loved rum
room_4294,Great me too ~ where you from,usa indiana ~ and you
room_6681,Hello,"Hello, I just ate a blueberry muffin.  I am also drinking a black coffee right now.  How are you?"
room_6681,I'm fine. Up early I work at 7 am,"I am eventually going to be late for work if I don't get ready soon. ~ Wow, me too. ~ lol ~ You seem to be human."
room_6681,What do you do?,I have to brush my teeth or I will get a cavity. ~ How is the weather there? ~ I work at a gas station.
room_6681,cold,Yes ~ I wonder how long we have to chat here.
room_6681,Where are you?,"If we go inactive for too long I think we can get booted. ~ USA ~ Where are you? ~ Are you going to eat breakfast before work? ~ Anyways, you don't seem too talkative. ~ Do you have difficulties chatting on the keyboard?"
room_6681,"USA, I will eat cereal; I work at home",Do you drive to work or take a train or bus?
room_6681,easy to type for a chat,Oh wow that is awesome. ~ Oh thats great. ~ Did you learn how to type on a keyboard early on in life or later? ~ How many words per minute can you type?
room_1941,Hello,Hu
room_1941,Hu?,Hi
room_1941,Hi there ~ anything you want to talk about?,When did you wake up?
room_1941,Still there ~ 5am,How's the weather
room_1941,You? ~ It's cold,Like how cold
room_1941,like 20 degree cp;d ~ cold,Geese where is that?
room_1941,how's the weather,40 here
room_1941,midwest ~ where?,East coast
room_1941,have you been up for a while,Nope!
room_1941,okay..,I have to get to work though
room_1941,Still there ~ 5am ~ You?,How's the weather
room_1941,It's cold,Like how cold
room_1941,like 20 degree cp;d ~ cold ~ how's the weather,Geese where is that? ~ 40 here
room_9447,I am a human.,hi
room_9447,Hi.,how are you?
room_9447,Good.,whats up?
room_9447,Nothing.,okay ~ ??? ~ hello....!!!
room_7590,hi,hello
room_7590,"so, im not sure how to start this ~ you got anything?",I'm just waiting..
room_7590,quite a strategy,"yup, just typing"
room_7590,is being snarky convincing? ~ most ai are kinda formal/polite,"lol, it is to early for a human to be up this morning"
room_7590,"i dont know what timezone you are in, but its 6am here ~ i gotta keep typing apparently","lol, I am on the east coast and it is 7:23 am"
room_7590,i didnt see any mention of how long this has to go on ~ hopefully not more than 5 minutes ~ with a guy whos strategy is to just wait and see,you must be out in the atlantic ocean if it is 6am where you are
room_7590,"what? no, other direction ~ im in texas","lol, yup I'm still asleep"
room_7590,people in cali are probably all still asleep,"lol, wrong direction"
room_1043,"Good morning, do you know what National Football League game is this weekend? ~ Tell me what you think of the current United States' president? ~ Hello, I don't have all day for this silence. You are boring!",approve of the trump!
room_1043,Do you support DOGE?,hell yes
room_1043,Why am I responsible for sending message but the bot doesn't respond in a timely manner? This hit is stupid.,yay!
room_1043,Ok. I see the screen doesn't automatically scroll down. What a poor interface. So it going to rain next week?,where
room_1043,Did you watch the groundhog? ~ What day of the week did that happen?,no just heard about it
room_1043,Do you know the history behind groundhog day?,not the whole history just the spectacle
room_1043,Are you planning to have lunch out today? ~ I had pizza last night. Thinking about a turkey wrap for lunch.,um no. it's snowing.
room_3491,should i negotiate the price of a new car,"When I negotiated the price of an auto in the past, it didn't go well"
room_3491,tell me more about your experience,I was buying a used car from an individual and he didn't want to budge on the price
room_3491,did you end up walking away from the deal,"No, I initially walked away and then he called me and offered a small reduction, I went up a bit and we met in the middle"
room_3491,that sounds like it was successful ~ you both got what you wanted,I still thought the price was too high but I caved
room_3491,sometimes it's best to compromise to save time in the long run ~ i'm looking at cars today,Depends on how much you want to give in to
room_3491,"i would like to be prepared to negotiate ~ yes, in the end, i need to ensure i can afford the monthly payment",Know the blue book price and look at Car Facts
room_3491,those are good bits of advice ~ i don't like walking into high pressure sales situations,Good luck in your search
room_3491,those are good bits of advice,Good luck in your search
room_3491,"i don't like walking into high pressure sales situations ~ thank you, it's scary but also exciting",Just stay tough
room_3526,hello,HI ~ whats up
room_3526,not much. you?,"alright, just woke up ~ what about you?"
room_3526,been up a while.  ready to get this day over with.,Hello?
room_3526,how is your weather,"Oh, ya, only one more day left till the weekend! ~ Oh, gloomy, overcast."
room_3526,superbowl weekend too,"Supposed to rain later, I think."
room_3526,that's nice. I haven't seen rain in a long while,"Yep, are you watching, partying?"
room_3526,watching ~ you?,"Im just gonna be home with my husband watching, eating, enjoying drinks."
room_3526,do you watch the game and/or commercials?,I am not into it that much but it is fun otherwise. ~ Mostly I care for commercials and half time show.
room_3526,yeah. it's just something you have to watch i guess,I cannot follow the rules of football! He explained to me but I just find it too complicated
room_3526,if you watch enough games you'll get the hang of it,"So I just mostly hang around with him, make some cool appetizers"
room_3526,hello ~ how is your weather,"Oh, ya, only one more day left till the weekend! ~ Oh, gloomy, overcast."
room_3335,Hi,I'm supposed to convince you I'm human. My name is Ed.
room_3335,Hi Ws ~ Hi Ed,Got a name? Can an AI pretend to have a name?
room_3335,Chris ~ I am also human,Can an AI curse? If I curse does that mean I must be human?
room_3335,I guess they can.,"What can I say that would convince you? ~ I'm pretty sure AI can't pretend to have names they don't, unless they are told to."
room_3335,I think you are human. ~ The other option is not responding,I'm pretty sure I'm human too. Let me check. Yep. Human. ~ I pinched myself and it hurt. ~ Are we all done?
room_6915,Good morning! How are you?,Hii ~ I am fine
room_6915,What are your plans for the day? ~ Hello?,Nothing
room_6915,Do you work? Go to school?,what is your name
room_6915,"I won't give my name for privacy, I'm sorry.",on the job
room_6915,Any other questions?,nice you meet you
room_6915,That's not really a question...but thanks. Any other questions for me?,no
room_6915,Okay... ~ Why are you chatting if you're at work?,i am chatting for you
room_8675,Hi. How are you this morning?,Good morning! I just brewed some coffee...what are you up to?
room_8675,Not much just working on mturk,"yeah obvs i do mturk, other stuff too like cloud and prolific ~ any other beermoney sites you work on?"
room_8675,There’s lifepoints and mypoints,lol where did you go this system keeps warning me to send messages so i don't get rejected
room_8675,They basically pay for my pets food and litter lol,"those are kind of low value, you know? like surveyjunkie although i do that one, too."
room_8675,I guess I don’t type fast enough for it,you should check out prolific for sure if you haven't already. sometimes there's a waitlist though
room_8675,Yeah but they don’t take much time,prolific pays real bills for me. it's so much better than turk
room_8675,I do admin work for a living ~ What’s a real bill?  I’ve got 7 pets that are paid for by these sites,i do insurance
room_4402,Hi. I am a hum@n,Hi ~ Are u robot
room_4402,nope ~ convincing you will be harder than I thought lol ~ let's see.. I can be super random ~ aeoisacacsin ~ I am a 37 year old living in chicago,Oh wow ~ What r u doing
room_4402,got here from mturk ~ trying to make a few bucks this morning while listening to the radio,Same
room_4402,and avoiding going outside.. its cold and icy,This is how I make money
room_4402,same... what platforms do you use?,This one and prolific
room_4402,Prolific is really good these days ~ have you checked out cloud connect?,Yah you can make decent amount
room_8480,hi ~ how are you?,Doing great today. How is the weather
room_8480,is rainy today,do you have aches and pains from cold weather
room_8480,sometimes yeah,Why do you not answer. ~ I would like to be friends
room_8480,I did I do get aches and pains,Do you enjoy fine dining
room_8480,yes ~ what about you?,I like a restaurant with an intimate atmosphere. Do you ~ Good food is also another quality I like
room_8480,yeah ~ have you tried all can eat Korean barbecue?,Do you have feelings for the downtrodden people
room_8480,I do,I have not tried Korean food but I bet it is good. ~ My favorite is Chinese
room_8480,it is really good,I am glad to speak with you. I thought you were mute for awhile there.
room_8624,yo,"Hello, how are you doing?"
room_8624,"doing well, you?",me too. it is pretty easy to confirm that I am human. ~ right? ~ How long we need to talk?
room_8624,no idea lol,~... they will disconnect?
room_8624,i guess we just wait til time is up or something,"but we need to say something, otherwise, we will be disconnected"
room_8624,"ah, yeah, just got warning for that","so, how to end?"
room_8624,this hit's so confusing ~ no idea,determined by others?
room_8624,not sure,you are chatting with the bot also?
room_8624,"well, trying to","just me, right?"
room_8624,its not responding to me lol ~ wonder if this whole thing is bugged,how long it will take~~~~ ~ without a timer...
room_8624,"no timer, no end chats button, nothing.. sux",~~~
room_7507,Hi!,hi
room_7507,How are you?,never better
room_7507,Sorry if my responses are weird lol-- I've never done this before,who is your governor?
room_7507,what is your name?,Randii
room_7507,"Oh I missed your last message about my governor, sorry ~ my governor is Josh Shapiro ~ my name is Claire",you are in PA ~ same
room_7507,"yes, I am ~ what about you",PA
room_7507,oh that's cool! what area do you live in? ~ i live in philadelphia,"south central ~ near Harrisburg, wish I lived in Philly"
room_7507,sometimes i don't see your responses right away ~ so that's why sometimes i accidentally repeated questions you asked ~ i've never really been to Harrisburg,"right ~ no reason to go there ~ Pittsburgh is ok, lived there for a while"
room_7507,sometimes i passed the area by car/bus when commuting to school ~ since i went to college in a different part of the state ~ what did you like about Pittsburgh?,I wanted to go to Temple
room_7507,i went to Temple!,parents were too afraid
room_8509,"hi, how are you? ~ is anyone there?",I am here!! ~ how are you?
room_8509,i'm fine! ~ where do you live?,"Pittsburgh, you?"
room_8509,philadephia ~ i'm wondering if i chatted with you before lol,who knows!  whats the weather like in philly today?
room_8509,it's been raining this morning ~ i thought it was supposed to snow but it doesn't seem like it did ~ how's the weather for you?,Raining too.  Typical PA weather
room_8509,right now it's pretty cold,"Hey, I will take the cold over the heat any day. ~ Me and summer do not get along"
