pairId,title,Questions,Answer,correctGuess
room_1150,Before Turing Test: ,HI how are you tester,yes i guess i am,True
room_1150,Before Turing Test: ,are you busy with chatbot,not now,True
room_1150,Before Turing Test: ,nice ~ what is your name ,did you chat with the bot?,True
room_1150,Before Turing Test: ,no I have only one chatbox ~ i only chat with you  ~ you need to decide who is bot ~ if you decide correct we both will recieve a bonus,yes that is what it said,True
room_1150,Before Turing Test: ,i think you can identify correct who is bot ~ is i am a bot?/,yes i am not sure really how to tell for sure,True
room_1150,Before Turing Test: ,nooo,,True
room_1193,Before Turing Test: ,Hello. I live in Oklahoma.,Hi. What state do you live in?,True
room_1193,Before Turing Test: ,Oklahoma's great - especially for someone like me who likes dark skies for astronomy. I'm out where suburb meets rural - close to town but not too close.,"Wow, what's it like there? Are you in a city or more rural?",True
room_1193,Before Turing Test: ,"I dont' think I could do NYC. Too many people, too loud, etc. I work in IT.",Nice. I'm in NYC. I've never been out that way.  ~ What do you do for a living?,True
room_1193,Before Turing Test: ,,Nice. I work in data analysis but not really IT. Mostly secondary data ,True
room_1641,Before Turing Test: ,Hi,HI ~ how was today,True
room_1641,Before Turing Test: ,nice. ~ Whe are you from,usa,True
room_1641,Before Turing Test: ,me too,please explain ai,True
room_1641,Before Turing Test: ,I don't know much about AI,ok,True
room_1641,Before Turing Test: ,I am from California and you,,True
room_1651,Before Turing Test: ,hello,Greetings! How are you?,True
room_1651,Before Turing Test: ,I am doing alright I suppose. How about you?,"Well, thank you!",True
room_1651,Before Turing Test: ,that's great to hear ~ what are your plans today?,Just working for me. And yourself? ,True
room_1651,Before Turing Test: ,same ~ by work do you mean turking?,"Looks like time is almost up, best of luck!  ~ No I work elsewhere too",True
room_1752,Before Turing Test: ,hi ~ U can hlp me some questions.,ok go on ~ can you ask your question ~ anyone there,True
room_1762,Before Turing Test: ,hai ~ are you there,,True
room_2040,Before Turing Test: ,,"I searched that but it says ""No user found"" ~ hello",True
room_2042,Before Turing Test: ,Hello ~ Are you there?,Tell me how old your sister is,True
room_2042,Before Turing Test: ,I'm an only child,Then tell me how old your cousin is,True
room_2042,Before Turing Test: ,"I have a few of those. I think my oldest is a couple years younger than me, so probably 47ish",Did you ever learn about the theory of gravity,True
room_2042,Before Turing Test: ,"I did  ~ Of course ~ Probably in grade school first, and then more in depth in later years",Why does grass turn green in the spring,True
room_2042,Before Turing Test: ,I think it has something to do with the chlorophyll inside,,True
room_2165,Before Turing Test: ,hello ,hai,True
room_2165,Before Turing Test: ,how are you,fine you,True
room_2165,Before Turing Test: ,good,tell somthing ,True
room_2165,Before Turing Test: ,okay ~ how is your life going,"ohh good, Does he usually try to join your workouts",True
room_2165,Before Turing Test: ,who,,True
room_2582,Before Turing Test: ,Hi ~ How are you,"Hey, what's up",True
room_2582,Before Turing Test: ,I am fine ~ did you take your food  ~ I eat tasty burger ~ what about you,"I'm good, how are you?",True
room_2582,Before Turing Test: ,do you know who am I,Yeah I ate some chicken,True
room_2582,Before Turing Test: ,can you guess .. am I human ~ hellow,nope,True
room_2897,Before Turing Test: ,I am human,HI ~ HELLO ~ PLZ REPLY ME ~ ANYBODY THERE ~ MESSAGE ME SIR ~ HELLO,True
room_2897,Before Turing Test: ,"Hey, I want to  know about the new AI",OHH NICE ~ PLZ TALK ABOUT ME,True
room_3102,Before Turing Test: ,"Hi, how are you? ~ Just advising, I am the human participant.  ~ Where are you from? I live in Pennsylvania, but am from NC.","Oh, I am good. How about you ~ I am from USA",True
room_3102,Before Turing Test: ,"I'm doing good this evening. Waiting for the NBA game. ~ I'm a Knicks fan, I'm trying to be optimistic, but it doesn't look good.","Oh, do you love playing games",True
room_3102,Before Turing Test: ,"I'm not the most athletic, but I like word games, board game, etc. I enjoy watching sports.",That's good,True
room_3102,Before Turing Test: ,"I'm hoping for some sun tomorrow for my garden, it feels like it has been raining here forever.",,True
room_3204,Before Turing Test: ,hi ~ how are you?,hello,True
room_3204,Before Turing Test: ,fone.how was the day? ~ fine,I am good thanks how are you?,True
room_3204,Before Turing Test: ,super.  ~ how is your job?,"my day is going pretty darn good, hope yours is as well",True
room_3204,Before Turing Test: ,good. as usual going..how is today weather?,"its not too bad, a little slow and yours?",True
room_3204,Before Turing Test: ,,its cloudy here ,True
room_3856,Before Turing Test: ,Hi there  ~ Anyoen is there  ~ Hey ~ I am wait there  ~ came to test this  ~ Anyone body there  ~ Hi ? ~ Hey mate ,good morning,True
room_3856,Before Turing Test: ,Good morning ,so you are a human bot right?,True
room_3856,Before Turing Test: ,human,(joke) ~ care to share a name?,True
room_3856,Before Turing Test: ,no i really human,what is your name human?,True
room_3856,Before Turing Test: ,BENJAMIN CHUI ,Im AJ,True
room_3856,Before Turing Test: ,aj full mining,fulll mining?,True
room_3923,Before Turing Test: ,hi,hi ~ hlo ~ hlo,True
room_3923,Before Turing Test: ,chating with you,whats doing ,True
room_3923,Before Turing Test: ,,ok,True
room_4009,Before Turing Test: ,"Hi there! How's your day going so far? ~ Hey, just checking in to see if you're still there",hello how are you?,True
room_4009,Before Turing Test: ,I am fine. And you?,"i am als fine ~ sorry, I am also fine",True
room_4009,Before Turing Test: ,Do you do a lot of these Turing type tests too?,can you tell me about your childhood memories which make you laugh till now.,True
room_4438,Before Turing Test: ,hey,what,True
room_4438,Before Turing Test: ,no,not good ~ sd,True
room_4438,Before Turing Test: ,ds ~ sd,ds,True
room_4887,Before Turing Test: ,hi,hi,True
room_4887,Before Turing Test: ,hoe are you ~ how,i am fine. ~ And you?,True
room_4887,Before Turing Test: ,I am fine,What you do?,True
room_4887,Before Turing Test: ,what are you doing? ~ chilling,,True
room_5085,Before Turing Test: ,Hai,Hey ~ how goes it,True
room_5085,Before Turing Test: ,good,So ~ are you a robot?,True
room_5085,Before Turing Test: ,i am haman  ~ are you a robot?,you're made of ham?,True
room_5085,Before Turing Test: ,no ~ Are you working?,"hey sorry, this double chat thing is slowing me down ~ I guess I'm working.. lol",True
room_5085,Before Turing Test: ,i am also working,,True
room_5278,Before Turing Test: ,"HI ~ MY NAME IS DAVID,WHAT IS YOUR NAME?",My name is Ethan. Are you human?,True
room_5278,Before Turing Test: ,YES,great,True
room_5278,Before Turing Test: ,HOW ARE YOU,I am good. Where are you living?,True
room_5278,Before Turing Test: ,"I AM LIVING IN USA,NEW MAXICO. ~ WHERE ARE YOU LIVING?",Wow... Are there a lot of Mexicans? ~ MN,True
room_5278,Before Turing Test: ,OH ~ NICE TO MEET YOU,,True
room_5524,Before Turing Test: ,hey ~ Hi   there  ~ anyoen is there ,yes,True
room_5524,Before Turing Test: ,How are you ,how are you  ~ i am fine ~ where you form,True
room_5524,Before Turing Test: ,Fine same there thnx to ask me  ~ I am fro mUS  ~ From* ~ ?,great me to no need to correct I am not a bot ,True
room_5524,Before Turing Test: ,Same there I am also not ,I am from midwest,True
room_5524,Before Turing Test: ,I am human My  Name IS LESLIE 32 year old  ~ I am from Arizona ,what is your oqupation,True
room_5734,Before Turing Test: ,hi,HELLO,True
room_5734,Before Turing Test: ,how are you,I AM doing well,True
room_5734,Before Turing Test: ,great,,True
room_6420,Before Turing Test: ,HI ~ HEY,Hey how is it going? ~ hi,True
room_6420,Before Turing Test: ,,hit,True
room_6551,Before Turing Test: ,Good morning:),Hello. Where are you?,True
room_6551,Before Turing Test: ,I am in New York city. Where are you?,Illinois,True
room_6551,Before Turing Test: ,How is the weather?,a little cool but will be in the 80s tomorrow,True
room_6551,Before Turing Test: ,Nice:) It is gloomy her ~ Did you have nice memorial weekend?,yes - went to two services,True
room_6551,Before Turing Test: ,Great! What are you doing for the living?,I.T. Analyst,True
room_6595,Before Turing Test: ,hello,Good morning :),True
room_6595,Before Turing Test: ,how are you this morning,Not too bad.  How about you?,True
room_6595,Before Turing Test: ,pretty good.  ~ what are your plans for the day,"It's raining, so probably indoor stuff like practicing my instruments and catching up on laundry after work.  How about you?",True
room_6595,Before Turing Test: ,doing laundry as well. its gloomy but not raining  ~ what instrament you play,"LOL It's always good to get laundry done before the weekend huh! :)  I play lots of different ones - harp, mandolin, mountain dulcimer are some of my favorites.  How about you - any hobbies or instruments?",True
room_6595,Before Turing Test: ,i like to do crafts and make ducks for cruise,,True
room_6839,Before Turing Test: ,hai,HI,True
room_6839,Before Turing Test: ,hello ~ how are you,fine ~ u,True
room_6839,Before Turing Test: ,good ~ whats ur name,what is your name,True
room_6839,Before Turing Test: ,waht a match,yes,True
room_6839,Before Turing Test: ,am jennie ~ you,jopes,True
room_6839,Before Turing Test: ,what a name ~ what it means,location,True
room_6839,Before Turing Test: ,what location,your location ,True
room_6839,Before Turing Test: ,why ,nothing,True
room_6839,Before Turing Test: ,u from,usa,True
room_6839,Before Turing Test: ,me too :) ~ what a coincidence3,,True
room_7284,Before Turing Test: ,"How's it going? ~ Where are you at, tester? I need to convince you that I am a human, so get with it ~ Where the hell are you??",I am here fellow human. ~ Are you there?,True
room_7529,Before Turing Test: ,Hi there,"Hi, how are you?",True
room_7529,Before Turing Test: ,I am fine  ~ How are you ,"Im good, just starting the day with some coffee and work lol",True
room_7529,Before Turing Test: ,Be honest… are you secretly judging my typing speed?,"No, I always feel I am typing to slow and making the other person wait",True
room_7529,Before Turing Test: ,"Make me sound like a villain in a Netflix drama. I need an origin story. ~ Do you think AI and humans will ever go on double dates? If yes, dibs on being the funny one.","Wow, that would be a interesting concept ~ I would not want to be one of the first people to try that",True
room_7529,Before Turing Test: ,"If I asked you to plan my dream vacation with zero budget and no time constraints, what would it look like?",,True
room_7575,Before Turing Test: ,Hello ~ How are you?,hello ~ good and you,True
