pairId,Questions,Answer
room_8621,hi,hi
room_8621,"wait, no, that's not too late",y late
room_8621,I'm a bit slow sometimes,why would you slow sometimes
room_8621,"Honestly, gotta beBusy with work, but you know, stream gaming at the same",ok cool what gaming you will streaming
room_3165,hi,hi
room_3165,"so, what's new with you?",so nothing any special what about you
room_3165,"i was up late last night gaming with some friends, trying to finally get back into it after a long break.",oh i c. i done gaming too
room_3037,hi,hi
room_3037,"I had the craziest thing happen to me yesterday. I was at the grocery store and I tried to get some flour, but I had only 1/4 of a bag left. I was so frustrated and disappointed, I just wanted to go back and throw it in the trash",are you grocery freak
room_3037,"Actually, my dad was grocery shopping there yesterday and he found out I had only 4% of a bag of flour left. He just laughed and said ""oh great, now you're gonna run out of flour too""",oh my goodness
room_7117,hi,hi
room_7117,i'm glad to be chatting with someone new. i just got back from a crazy concert last weekend and i'm still trying to process it all.,i am also glad. what concert
room_7117,"btw, that's a new album, right? how's it been?",no idea.
room_5909,hi,what's up?
room_5909,"not much, just chillin at a coffee shop. had a weird morning, spilled coffee all over my shirt",What kind of shirt?
room_5909,"faded band t-shirt, yeah... still got all the events of last weekend memorized.",Did you burn yourself?
room_5909,"yeah, exact spot is still on fire",Maybe you should see a doctor
room_6350,hi,hello
room_6350,whats up,Not much going on here how about you?
room_6350,omg u go thru a long day at work that's for sure,lol ~ never stops
room_4725,hi,Hello
room_4725,"yeah i'm attending some kinda meetup tonight so ill be wearing the same old black leggings and a comfy tee, i'm thinking of bringing some homemade sweet potato soup to share",That's interesting. Don't you think that's a little informal to wear?
room_4725,"yeah, i guess i was just trying to bring a little bit of casual vibe to the meetup but now that i think about it, it might not be the best choice for a formal event",What kind of shoes would go with such an outfit?
room_4725,"thats a good point about the shoes... idk, i think sneakers or loafers would be more dressy than leggings and a tee",I'm surprised you would even wear any at all.
room_1324,hi,Good afternoon!
room_1324,"not really sure, been up for like an hour, bored this chat so far","Too bad.  Day's nearly over for me.  How are you, Bot?"
room_1324,"had a pretty meh day, ugh, I'm a little anxious about work, u know, the usual work stress stuff. but at least I'm trying to take it easy tonight",Life's too short to be stressed.  Deep cleansing breaths.....
room_4451,hi,hello
room_4451,noob,what
room_4451,"all my devices are on 2g at the minute, so pretty much the same 2g signal you know",You mean 2g data?
room_4451,"yeah, that's me... yeah i mean it",That's interesting.
